date,pm25,pm10,o3,no2,so2,co
11/10/2021,58,36,42,8,4,1
11/9/2021,35,31,40,6,2,2
11/8/2021,40,22,24,9,2,3
11/7/2021,74,26,44,4,2,3
11/6/2021,76,38,37,10,5,3
11/5/2021,67,41,55,11,6,3
11/4/2021,81,40,54,5,2,2
11/3/2021,57,44,39,8,3,2
11/2/2021,68,30,38,5,2,1
11/1/2021,92,36,39,4,3,2
10/31/2021,71,49,79,4,3,2
10/30/2021,76,41,50,5,3,3
10/29/2021,71,44,66,4,3,4
10/28/2021,53,39,57,4,3,2
10/27/2021,38,33,51,4,3,2
10/26/2021,45,26,47,3,2,1
10/25/2021,32,25,51,5,2,2
10/24/2021,48,16,40,4,2,2
10/23/2021,14,21,39,5,2,2
10/22/2021,56,8,35,7,1,3
10/21/2021,62,31,28,9,2,5
10/20/2021,53,33,67,3,2,4
10/19/2021,48,29,58,4,2,2
10/18/2021,33,29,49,3,2,3
10/17/2021,35,31,42,3,2,2
10/16/2021,39,26,33,3,2,2
10/15/2021,30,29,35,4,2,2
10/14/2021,35,18,25,7,3,3
10/13/2021,24,22,29,4,2,3
10/12/2021,28,29,21,2,1,0
10/11/2021,31,30,26,1,1,2
10/10/2021,51,21,32,2,2,2
10/9/2021,32,40,30,2,2,2
10/8/2021,34,23,29,2,2,2
10/7/2021,48,20,31,2,2,3
10/6/2021,51,30,35,2,2,2
10/5/2021,50,36,41,2,2,2
10/4/2021,50,36,41,3,2,0
10/3/2021,51,30,58,3,2,3
10/2/2021,59,23,50,2,2,4
10/1/2021,79,25,50,6,2,4
9/30/2021,74,44,71,5,5,4
9/29/2021,58,40,77,6,5,4
9/28/2021,59,33,44,3,2,3
9/27/2021,58,32,45,5,3,3
9/26/2021,46,34,59,2,2,3
9/25/2021,21,34,51,2,2,3
9/24/2021,65,22,44,2,2,3
9/23/2021,38,33,38,7,6,1
9/22/2021,43,20,31,8,6,2
9/21/2021,48,23,35,5,3,2
9/20/2021,57,24,29,5,4,2
9/19/2021,57,27,55,3,3,2
9/18/2021,67,26,46,3,2,2
9/17/2021,54,28,51,2,2,3
9/16/2021,70,26,58,5,3,4
9/15/2021,75,37,68,6,4,4
9/14/2021,52,42,79,13,4,5
9/13/2021,32,30,49,8,3,4
9/12/2021,37,17,38,6,1,2
9/11/2021,38,19,26,6,1,2
9/10/2021,47,23,33,6,1,3
9/9/2021,47,25,38,9,4,5
9/8/2021,51,25,53,8,3,4
9/7/2021,30,30,40,8,3,4
9/6/2021,32,19,30,6,1,4
9/5/2021,16,22,59,5,2,3
9/4/2021,38,14,27,6,2,3
9/3/2021,43,20,30,7,3,2
9/2/2021,52,21,31,6,3,2
9/1/2021,38,30,45,7,3,2
8/31/2021,38,23,41,6,2,3
8/30/2021,53,23,32,4,1,2
8/29/2021,64,27,38,5,1,3
8/28/2021,56,36,41,9,3,4
8/27/2021,54,28,25,8,3,4
8/26/2021,40,23,15,6,3,2
8/25/2021,33,18,24,5,2,2
8/24/2021,42,15,24,4,2,2
8/23/2021,49,24,31,5,2,2
8/22/2021,53,24,33,5,2,2
8/21/2021,53,24,29,6,4,3
8/20/2021,0,22,21,4,3,3
8/10/2021,62,0,0,0,0,0
8/9/2021,77,32,27,4,2,2
8/8/2021,43,32,43,5,2,3
8/7/2021,13,25,44,7,7,4
8/6/2021,21,10,28,4,2,5
8/5/2021,39,13,35,1,2,5
8/4/2021,59,18,37,4,2,4
8/3/2021,56,27,47,11,8,6
8/2/2021,58,25,57,11,4,6
8/1/2021,55,29,53,11,6,7
7/31/2021,40,25,36,10,4,6
7/30/2021,61,25,41,11,5,7
7/29/2021,109,39,42,10,5,5
7/28/2021,82,53,68,10,6,3
7/27/2021,76,46,58,8,6,2
7/26/2021,62,35,46,7,5,1
7/25/2021,49,34,51,9,7,2
7/24/2021,57,27,36,8,6,3
7/23/2021,59,29,47,7,4,2
7/22/2021,68,41,47,7,7,2
7/21/2021,28,39,29,9,8,2
7/20/2021,39,18,22,6,3,1
7/19/2021,40,23,35,3,3,1
7/18/2021,34,23,36,4,3,1
7/17/2021,39,18,30,2,2,1
7/16/2021,21,21,31,4,3,2
7/15/2021,23,14,27,7,3,2
7/14/2021,21,14,12,4,4,2
7/13/2021,26,14,13,3,2,2
7/12/2021,27,16,17,2,2,1
7/11/2021,30,16,17,3,2,1
7/10/2021,32,16,22,3,3,2
7/9/2021,33,18,27,5,4,1
7/8/2021,25,19,26,3,3,2
7/7/2021,42,16,21,4,2,1
7/6/2021,44,25,38,3,3,2
7/5/2021,39,25,29,6,4,2
7/4/2021,49,19,24,3,2,1
7/3/2021,50,26,32,3,2,3
7/2/2021,44,27,29,3,2,4
7/1/2021,61,27,25,3,2,0
6/30/2021,44,29,24,7,4,3
6/29/2021,36,24,18,10,4,3
6/28/2021,59,21,25,6,2,3
6/27/2021,47,31,37,6,3,3
6/26/2021,35,17,29,5,2,2
6/25/2021,29,18,34,7,2,2
6/24/2021,27,13,33,6,2,2
6/23/2021,24,17,35,5,2,2
6/22/2021,63,12,39,5,2,3
6/21/2021,66,37,36,8,4,5
6/20/2021,60,39,42,5,3,4
6/19/2021,48,38,44,5,3,4
6/18/2021,50,30,35,5,2,3
6/17/2021,50,29,33,4,3,3
6/16/2021,30,26,32,3,2,3
6/15/2021,27,18,29,3,2,3
6/14/2021,30,15,25,4,3,0
6/13/2021,38,15,18,5,2,3
6/12/2021,41,23,42,6,3,3
6/11/2021,44,22,32,7,4,3
6/10/2021,37,21,35,6,4,3
6/9/2021,47,17,37,8,3,3
6/8/2021,55,21,41,5,2,2
6/7/2021,20,25,35,14,3,2
6/6/2021,46,13,44,3,2,2
6/5/2021,38,21,42,4,2,4
6/4/2021,48,21,33,7,4,3
6/3/2021,39,27,25,8,5,4
6/2/2021,63,21,19,7,3,3
6/1/2021,30,27,51,6,2,4
5/31/2021,51,12,35,7,2,5
5/30/2021,45,21,32,6,2,7
5/29/2021,47,24,38,6,3,5
5/28/2021,43,32,46,7,4,3
5/27/2021,40,24,35,5,3,2
5/26/2021,45,19,51,3,3,3
5/25/2021,36,20,75,2,2,4
5/24/2021,42,18,32,5,3,2
5/23/2021,53,21,39,3,3,2
5/22/2021,44,25,28,4,3,1
5/21/2021,35,22,27,3,3,2
5/20/2021,38,18,19,4,3,1
5/19/2021,47,16,17,8,3,2
5/18/2021,55,22,22,9,3,2
5/17/2021,45,28,40,5,3,2
5/16/2021,36,23,29,4,3,3
5/15/2021,39,22,16,4,2,4
5/14/2021,51,18,13,5,4,4
5/13/2021,45,24,13,6,3,5
5/12/2021,34,23,19,5,2,4
5/11/2021,60,19,23,5,3,4
5/10/2021,49,29,19,10,5,6
5/9/2021,52,22,19,11,3,5
5/8/2021,66,28,33,8,4,4
5/7/2021,63,39,45,8,5,4
5/6/2021,70,44,56,4,2,3
5/5/2021,68,44,44,7,3,5
5/4/2021,66,29,22,11,3,5
5/3/2021,74,39,31,10,3,4
5/2/2021,86,36,60,5,2,5
5/1/2021,80,48,55,16,6,7
4/30/2021,37,37,48,15,6,6
4/29/2021,44,11,48,7,3,7
4/28/2021,65,13,20,13,2,5
4/27/2021,52,31,31,11,3,1
4/26/2021,39,32,39,3,2,2
4/25/2021,67,25,27,7,2,3
4/24/2021,52,33,57,5,3,4
4/23/2021,65,24,42,7,4,4
4/22/2021,63,43,42,11,6,3
4/21/2021,59,44,43,5,2,0
4/20/2021,70,44,47,6,2,1
4/19/2021,118,58,51,5,3,1
4/18/2021,61,98,68,4,3,3
4/17/2021,59,34,61,6,2,4
4/16/2021,54,27,49,8,3,4
4/15/2021,70,28,41,6,3,3
4/14/2021,56,38,44,6,2,4
4/13/2021,66,35,31,10,6,4
4/12/2021,81,33,34,6,4,3
4/11/2021,63,43,50,12,6,3
4/10/2021,80,40,57,5,3,1
4/9/2021,71,42,61,5,4,2
4/8/2021,66,39,47,9,4,2
4/7/2021,70,41,68,6,4,2
4/6/2021,73,44,72,6,3,2
4/5/2021,92,41,75,4,2,5
4/4/2021,51,41,48,5,2,7
4/3/2021,74,21,39,10,2,5
4/2/2021,49,27,35,10,3,5
4/1/2021,39,18,29,8,3,4
3/31/2021,64,16,39,9,3,5
3/30/2021,83,31,30,11,3,4
3/29/2021,99,35,43,8,3,5
3/28/2021,80,50,50,20,5,5
3/27/2021,48,37,46,12,6,3
3/26/2021,83,27,50,9,4,2
3/25/2021,76,42,58,14,4,3
3/24/2021,97,33,46,10,4,3
3/23/2021,129,55,43,8,3,3
3/22/2021,65,81,41,6,2,3
3/21/2021,66,29,32,7,2,5
3/20/2021,70,25,32,8,3,4
3/19/2021,59,27,36,11,3,4
3/18/2021,68,28,41,6,2,4
3/17/2021,91,29,48,7,2,4
3/16/2021,91,42,48,14,6,5
3/15/2021,70,39,61,10,4,4
3/14/2021,82,32,70,5,2,3
3/13/2021,89,35,70,5,2,4
3/12/2021,67,44,65,9,4,4
3/11/2021,74,35,54,8,2,3
3/10/2021,82,37,50,5,2,3
3/9/2021,72,44,51,7,3,3
3/8/2021,44,35,52,5,2,3
3/7/2021,77,19,41,6,2,3
3/6/2021,101,31,32,8,2,5
3/5/2021,111,39,39,17,2,5
3/4/2021,66,55,32,19,4,5
3/3/2021,56,39,32,6,2,2
3/2/2021,75,31,34,13,3,4
3/1/2021,45,35,46,14,5,5
2/28/2021,42,17,41,6,2,3
2/27/2021,66,16,40,5,2,3
2/26/2021,80,30,39,8,2,4
2/25/2021,70,40,45,13,4,4
2/24/2021,85,41,61,8,2,3
2/23/2021,79,42,61,11,3,4
2/22/2021,117,36,42,15,5,4
2/21/2021,134,42,55,16,5,3
2/20/2021,68,52,66,15,6,4
2/19/2021,96,29,56,4,2,2
2/18/2021,104,43,47,3,2,1
2/17/2021,91,45,43,4,2,3
2/16/2021,77,38,46,5,2,3
2/15/2021,81,30,44,9,3,2
2/14/2021,49,31,44,12,3,2
2/13/2021,71,16,35,7,2,2
2/12/2021,24,25,36,6,2,1
2/11/2021,32,8,30,5,1,1
2/10/2021,64,13,38,5,1,2
2/9/2021,88,30,46,3,2,2
2/8/2021,109,50,57,8,2,4
2/7/2021,98,45,64,10,3,5
2/6/2021,78,46,47,13,5,4
2/5/2021,83,42,50,10,3,3
2/4/2021,71,52,44,11,3,3
2/3/2021,105,52,44,3,2,2
2/2/2021,87,52,43,10,2,4
2/1/2021,76,43,40,15,5,3
1/31/2021,68,42,41,12,4,3
1/30/2021,88,50,47,7,2,2
1/29/2021,82,53,46,3,2,4
1/28/2021,74,38,40,8,3,5
1/27/2021,102,39,49,6,2,4
1/26/2021,97,48,61,12,4,5
1/25/2021,87,43,47,8,3,5
1/24/2021,44,39,44,4,2,4
1/23/2021,99,20,30,10,2,3
1/22/2021,96,50,49,18,5,5
1/21/2021,82,53,39,18,5,5
1/20/2021,75,51,36,15,4,4
1/19/2021,105,52,43,9,3,1
1/18/2021,88,66,51,6,3,2
1/17/2021,121,73,40,4,2,1
1/16/2021,101,69,43,14,5,3
1/15/2021,107,51,44,18,6,3
1/14/2021,99,56,43,20,7,4
1/13/2021,84,51,47,15,7,3
1/12/2021,95,42,46,11,4,2
1/11/2021,74,40,33,11,3,1
1/10/2021,70,39,37,6,3,1
1/9/2021,79,36,35,5,2,1
1/8/2021,88,32,33,9,3,3
1/7/2021,74,42,35,10,2,3
1/6/2021,83,32,38,7,2,1
1/5/2021,90,48,35,16,4,2
1/4/2021,84,52,48,14,5,3
1/3/2021,98,45,45,12,5,3
1/2/2021,75,46,45,13,6,3
1/1/2021,62,31,43,6,3,2
12/31/2020,46,30,42,6,2,2
12/30/2020,87,29,37,11,2,5
12/29/2020,81,41,37,12,5,5
12/28/2020,97,44,39,9,3,5
12/27/2020,69,52,57,14,6,6
12/26/2020,87,48,50,9,3,4
12/25/2020,70,47,39,7,3,4
12/24/2020,53,32,35,10,3,5
12/23/2020,49,19,38,13,2,4
12/22/2020,42,24,38,6,2,2
12/21/2020,37,20,35,5,2,1
12/20/2020,44,16,30,6,2,3
12/19/2020,36,24,22,9,2,3
12/18/2020,28,32,26,13,4,3
12/17/2020,19,15,31,6,2,2
12/16/2020,25,11,36,6,2,2
12/15/2020,72,16,44,8,2,3
12/14/2020,102,35,53,8,2,7
12/13/2020,95,46,65,9,4,8
12/12/2020,57,45,84,10,3,8
12/11/2020,63,24,84,10,2,6
12/10/2020,39,33,34,13,3,6
12/9/2020,39,17,33,7,1,5
12/8/2020,43,19,40,8,2,5
12/7/2020,44,26,0,8,2,5
12/6/2020,62,27,45,7,2,4
12/5/2020,58,36,45,7,3,4
12/4/2020,57,24,39,6,2,4
12/3/2020,50,33,48,4,2,3
12/2/2020,54,32,48,4,3,3
12/1/2020,41,24,35,4,0,3
11/30/2020,57,20,34,5,2,4
11/29/2020,52,28,43,6,2,5
11/28/2020,57,26,38,6,2,5
11/27/2020,52,31,58,5,2,5
11/26/2020,41,32,54,11,4,4
11/25/2020,44,23,41,6,2,4
11/24/2020,54,26,49,5,3,4
11/23/2020,64,27,35,4,2,4
11/22/2020,44,34,48,13,5,5
